step,fraction,sample_size,dimension,mean_cosine,cosine_std,uniformity,effective_rank,participation_ratio,top_eigenvalue_share,top10_eigenvalue_share,hubness_skew_k10,neighborhood_preservation
0,0.0,10000.0,384.0,0.043051283806562424,0.08652155846357346,-3.7631335258483887,203.61087036132812,134.13811289384162,0.03008764423429966,0.18197417259216309,1.6685527377486646,1.0
68,0.25,10000.0,384.0,0.22251418232917786,0.10073969513177872,-3.0258026123046875,178.94677734375,103.22904834958047,0.039099063724279404,0.23009508848190308,2.2262706787358963,0.56501
135,0.5,10000.0,384.0,0.5969304442405701,0.07969652861356735,-1.5640724897384644,164.67398071289062,90.22047907036765,0.04210944101214409,0.25397947430610657,3.873929648990273,0.37851
270,1.0,10000.0,384.0,0.6283057928085327,0.0686885342001915,-1.4507184028625488,172.20603942871094,98.88582761196778,0.03905848413705826,0.23608580231666565,4.107162015927619,0.38254
