seed,branch,classification_inter_distance,classification_intra_distance,classification_margin,cosine_std,dimension,effective_rank,hubness_skew_k10,mean_cosine,neighborhood_preservation,participation_ratio,retrieval_margin,retrieval_negative_cosine,retrieval_positive_cosine,sample_size,sts_alignment,sts_mean_cosine,top10_eigenvalue_share,top_eigenvalue_share,uniformity
42,m0,0.9633151292800903,0.8775431513786316,0.08577197790145874,0.08652155846357346,384.0,203.61087036132812,1.6685527377486646,0.043051283806562424,1.0,134.13811289384162,0.20274612307548523,0.5355883836746216,0.7383344769477844,10000.0,0.27814561128616333,0.6500272750854492,0.18197417259216309,0.03008764423429966,-3.7631335258483887
42,control,0.9697549939155579,0.9191397428512573,0.05061525106430054,0.07116764038801193,384.0,243.77366638183594,1.3536203735432113,0.004600271582603455,0.40781000000000006,194.67989868436288,0.19911910593509674,0.4584994912147522,0.6576185822486877,10000.0,0.3442476987838745,0.6054954528808594,0.11374443024396896,0.014787857420742512,-3.9396111965179443
42,mix_s000_c000_r100,0.9653586149215698,0.8949868679046631,0.07037174701690674,0.08179078996181488,384.0,218.1953582763672,1.6197213052707178,0.034973274916410446,0.69217,152.4556326763351,0.26168638467788696,0.46445605158805847,0.7261423468589783,10000.0,0.31819841265678406,0.6257844567298889,0.16065263748168945,0.02480052039027214,-3.8031389713287354
42,mix_s000_c020_r080,0.6559855341911316,0.576666533946991,0.07931900024414062,0.09994998574256897,384.0,210.6114959716797,2.9037433629127984,0.1937914788722992,0.49363,135.1539412022874,0.24156515300273895,0.4893721342086792,0.7309373021125793,10000.0,0.2906736135482788,0.6619700193405151,0.18454255163669586,0.033494073897600174,-3.1432673931121826
42,mix_s000_c040_r060,0.3682931065559387,0.2522590458393097,0.11603406071662903,0.1293858140707016,384.0,168.1725311279297,4.5244433855083885,0.4609662592411041,0.31981,76.60231512438347,0.2106713205575943,0.5367228388786316,0.7473941445350647,10000.0,0.21055562794208527,0.7421430945396423,0.2673318386077881,0.06938989460468292,-2.0308845043182373
42,mix_s000_c060_r040,0.2860013544559479,0.1446337103843689,0.14136764407157898,0.12936554849147797,384.0,129.16494750976562,4.1220634731843,0.6002729535102844,0.25231,45.233325850670425,0.18332625925540924,0.5824670791625977,0.7657932639122009,10000.0,0.16245199739933014,0.7906606793403625,0.3467637300491333,0.1033748909831047,-1.4783283472061157
42,mix_s000_c080_r020,0.2711428105831146,0.10320595651865005,0.16793685406446457,0.11143410205841064,384.0,90.83806610107422,3.5089539576949065,0.6950873732566833,0.20221,25.10889930757679,0.14185811579227448,0.6396903395652771,0.7815485000610352,10000.0,0.12790460884571075,0.8307054042816162,0.4388425648212433,0.15409335494041443,-1.1304616928100586
42,mix_s000_c100_r000,0.23313458263874054,0.06715568900108337,0.16597889363765717,0.07712086290121078,384.0,46.475555419921875,2.62712236970043,0.8226518630981445,0.13291,11.036333701221134,0.029726186767220497,0.7557544112205505,0.7854806780815125,10000.0,0.07584649324417114,0.9015138149261475,0.5833333730697632,0.2553435266017914,-0.6659317016601562
42,mix_s020_c000_r080,0.9361979365348816,0.8601466417312622,0.07605129480361938,0.08643849939107895,384.0,211.17967224121094,1.5819808388689434,0.06345105171203613,0.67573,142.45393506214245,0.24697574973106384,0.47368866205215454,0.7206644415855408,10000.0,0.278059720993042,0.6660686135292053,0.17342522740364075,0.026863522827625275,-3.682758331298828
42,mix_s020_c020_r060,0.5046663880348206,0.4249318838119507,0.07973450422286987,0.10632064193487167,384.0,196.39212036132812,4.025965737579446,0.34138721227645874,0.4121199999999999,114.86749133100662,0.21434758603572845,0.5303617715835571,0.7447093725204468,10000.0,0.20853327214717865,0.7542948126792908,0.21147911250591278,0.042105477303266525,-2.5457873344421387
