step,fraction,sample_size,dimension,mean_cosine,cosine_std,uniformity,effective_rank,participation_ratio,top_eigenvalue_share,top10_eigenvalue_share,hubness_skew_k10,neighborhood_preservation
0,0.0,10000.0,384.0,0.0422806441783905,0.08612614125013351,-3.76702880859375,203.61087036132812,134.13811289384162,0.03008764423429966,0.18197417259216309,1.6685527377486646,1.0
68,0.25,10000.0,384.0,0.20451150834560394,0.09369654953479767,-3.1099612712860107,201.28990173339844,127.08355774175392,0.03026757948100567,0.1951996386051178,2.312734189285597,0.57968
135,0.5,10000.0,384.0,0.4130086600780487,0.09835035353899002,-2.273014545440674,186.67552185058594,106.65424285936784,0.04209853336215019,0.2243947684764862,4.1662254815279205,0.4389700000000001
270,1.0,10000.0,384.0,0.4643857479095459,0.10579193383455276,-2.0576422214508057,177.01698303222656,91.9617203744201,0.05458600074052811,0.24463573098182678,4.161996729210798,0.40003999999999995
