step,fraction,sample_size,dimension,mean_cosine,cosine_std,uniformity,effective_rank,participation_ratio,top_eigenvalue_share,top10_eigenvalue_share,hubness_skew_k10,neighborhood_preservation
0,0.0,10000.0,384.0,0.042331937700510025,0.0864267647266388,-3.7660415172576904,203.61087036132812,134.13811289384162,0.03008764423429966,0.18197417259216309,1.6685527377486646,1.0
68,0.25,10000.0,384.0,0.6014068126678467,0.0907159373164177,-1.5326356887817383,159.1385955810547,67.27444281243588,0.08121508359909058,0.28077682852745056,4.947392273117672,0.25651999999999997
135,0.5,10000.0,384.0,0.7845525741577148,0.06477148830890656,-0.8304661512374878,95.70930480957031,26.200206931644715,0.15418508648872375,0.4170820116996765,3.6304362193527537,0.21736
270,1.0,10000.0,384.0,0.7863447070121765,0.06560244411230087,-0.8224548101425171,89.76628875732422,23.06873808002006,0.16805805265903473,0.43342453241348267,3.6862724476230984,0.21228999999999995
