step,fraction,sample_size,dimension,mean_cosine,cosine_std,uniformity,effective_rank,participation_ratio,top_eigenvalue_share,top10_eigenvalue_share,hubness_skew_k10,neighborhood_preservation
0,0.0,10000.0,384.0,0.042331937700510025,0.0864267647266388,-3.7660415172576904,203.61087036132812,134.13811289384162,0.03008764423429966,0.18197417259216309,1.6685527377486646,1.0
68,0.25,10000.0,384.0,0.008110824972391129,0.0737587958574295,-3.921961545944214,234.44435119628906,180.66702956941523,0.017829060554504395,0.1267966479063034,1.3367516532804258,0.55512
135,0.5,10000.0,384.0,0.0072105019353330135,0.07226498425006866,-3.927645683288574,239.56793212890625,188.5842528607351,0.016197239980101585,0.1183110699057579,1.4152953823940206,0.46287
270,1.0,10000.0,384.0,0.004918800666928291,0.07162076979875565,-3.9376659393310547,241.22108459472656,191.50494630331963,0.01522953249514103,0.11514847725629807,1.3467798231994461,0.44319
