step,fraction,sample_size,dimension,mean_cosine,cosine_std,uniformity,effective_rank,participation_ratio,top_eigenvalue_share,top10_eigenvalue_share,hubness_skew_k10,neighborhood_preservation
0,0.0,10000.0,384.0,0.0422806441783905,0.08612614125013351,-3.76702880859375,203.61087036132812,134.13811289384162,0.03008764423429966,0.18197417259216309,1.6685527377486646,1.0
68,0.25,10000.0,384.0,0.717319667339325,0.08715452998876572,-1.0754181146621704,107.86732482910156,30.73957449882375,0.14524343609809875,0.38761278986930847,3.543341548287639,0.20274
135,0.5,10000.0,384.0,0.8131117224693298,0.0750073790550232,-0.7064155340194702,58.36343002319336,14.084313863494067,0.2197706401348114,0.5342788100242615,2.725113377495785,0.15661000000000003
270,1.0,10000.0,384.0,0.8099676370620728,0.08190403133630753,-0.7113597989082336,45.92147445678711,10.831497951193112,0.2595508396625519,0.584882378578186,2.5502725702820586,0.13688000000000003
