step,fraction,sample_size,dimension,mean_cosine,cosine_std,uniformity,effective_rank,participation_ratio,top_eigenvalue_share,top10_eigenvalue_share,hubness_skew_k10,neighborhood_preservation
0,0.0,10000.0,384.0,0.043051283806562424,0.08652155846357346,-3.7631335258483887,203.61087036132812,134.13811289384162,0.03008764423429966,0.18197417259216309,1.6685527377486646,1.0
68,0.25,10000.0,384.0,0.5940864086151123,0.09295833855867386,-1.5590018033981323,156.0428924560547,65.30184530755743,0.08329636603593826,0.28564339876174927,4.151567839212407,0.25528
135,0.5,10000.0,384.0,0.79430091381073,0.06369657069444656,-0.7925306558609009,91.38156127929688,24.724354031590437,0.1579131931066513,0.42701274156570435,3.547087202986053,0.21105
270,1.0,10000.0,384.0,0.7905554175376892,0.06277672946453094,-0.8081027865409851,90.7496566772461,23.906423890657,0.16246630251407623,0.4289371371269226,3.8468284317546435,0.21539
