step,fraction,sample_size,dimension,mean_cosine,cosine_std,uniformity,effective_rank,participation_ratio,top_eigenvalue_share,top10_eigenvalue_share,hubness_skew_k10,neighborhood_preservation
0,0.0,10000.0,384.0,0.0422806441783905,0.08612614125013351,-3.76702880859375,203.61087036132812,134.13811289384162,0.03008764423429966,0.18197417259216309,1.6685527377486646,1.0
68,0.25,10000.0,384.0,0.6121358871459961,0.09749665856361389,-1.4810136556625366,144.5857391357422,54.53167099498111,0.09661439061164856,0.3089546859264374,4.000622670382184,0.26377
135,0.5,10000.0,384.0,0.6433788537979126,0.10893017053604126,-1.3394320011138916,117.42171478271484,38.71859364113548,0.11286670714616776,0.3709113895893097,3.8570828305619296,0.25327
270,1.0,10000.0,384.0,0.677725076675415,0.11672711372375488,-1.191648244857788,97.7218017578125,27.916230034938568,0.14406631886959076,0.42173975706100464,3.618484843288609,0.211
