model,seed,branch,classification_inter_distance,classification_intra_distance,classification_margin,cosine_std,dimension,effective_rank,hubness_skew_k10,mean_cosine,neighborhood_preservation,participation_ratio,retrieval_margin,retrieval_negative_cosine,retrieval_positive_cosine,sample_size,sts_alignment,sts_mean_cosine,top10_eigenvalue_share,top_eigenvalue_share,uniformity
raw_minilm,42,m0,0.7709321975708008,0.6536048054695129,0.11732739210128784,0.1299644559621811,384.0,101.5591812133789,0.9208225148854537,0.02326846681535244,1.0,58.161107254744984,0.04995857924222946,0.12204714864492416,0.17200574278831482,10000.0,0.24098850786685944,0.7869736552238464,0.31378865242004395,0.05343044921755791,-3.762267827987671
raw_minilm,42,control,0.7688776254653931,0.6668210625648499,0.10205656290054321,0.11737527698278427,384.0,120.43962860107422,1.0428413145174018,0.011560237966477871,0.60752,72.62237364283062,0.05556084215641022,0.13207969069480896,0.18764054775238037,10000.0,0.2659724950790405,0.7708648443222046,0.26750242710113525,0.0427095890045166,-3.8370518684387207
raw_minilm,42,sts,0.27382081747055054,0.2300536036491394,0.04376721382141113,0.06522782146930695,384.0,97.7636489868164,2.5189348649916234,0.6935056447982788,0.29791000000000006,55.87925527671737,0.0240425206720829,0.7145318984985352,0.7385744452476501,10000.0,0.06450269371271133,0.9120997786521912,0.3366249203681946,0.04884834215044975,-1.1931170225143433
raw_minilm,42,classification,0.25900888442993164,0.04479343444108963,0.214215449988842,0.08803163468837738,384.0,13.820038795471191,1.7990854550434532,0.8562639355659485,0.11022,4.656995150458588,0.007203655783087015,0.8727427124977112,0.8799462914466858,10000.0,0.02770824357867241,0.9714314937591553,0.7951542139053345,0.4141339361667633,-0.5201129913330078
raw_minilm,42,retrieval,0.847809910774231,0.7174614667892456,0.13034844398498535,0.12995122373104095,384.0,99.45574951171875,1.4648176430361657,0.09610749036073685,0.24423000000000003,58.81214959634772,0.18414312601089478,0.44024455547332764,0.6243876814842224,10000.0,0.22457483410835266,0.7566642761230469,0.3176739811897278,0.045272137969732285,-3.473285675048828
raw_minilm,43,m0,0.7727940082550049,0.6528167724609375,0.11997723579406738,0.13088110089302063,384.0,99.05516052246094,0.9203791450957051,0.0211463775485754,1.0,56.83560150123581,0.04919610172510147,0.12403545528650284,0.17323154211044312,10000.0,0.23669852316379547,0.7913326025009155,0.3199869692325592,0.05285044014453888,-3.7681241035461426
raw_minilm,43,control,0.7849096059799194,0.6808797121047974,0.10402989387512207,0.11877398192882538,384.0,117.48197174072266,1.1182515343475794,0.01304338127374649,0.61149,70.69847750712285,0.0549917109310627,0.1293361335992813,0.1843278706073761,10000.0,0.26775050163269043,0.7688636183738708,0.2725769579410553,0.043169546872377396,-3.8279359340667725
raw_minilm,43,sts,0.27559009194374084,0.23178784549236298,0.04380224645137787,0.06664999574422836,384.0,94.17263793945312,2.4461311266491887,0.6939411163330078,0.29031,53.35282026289297,0.023302316665649414,0.7199559807777405,0.7432582378387451,10000.0,0.06324715912342072,0.9135414361953735,0.3478448987007141,0.05160714313387871,-1.1899584531784058
raw_minilm,43,classification,0.2563830614089966,0.045035067945718765,0.21134799346327782,0.08648370206356049,384.0,13.926454544067383,1.6714581356370997,0.8511929512023926,0.10805,4.766494751684534,0.006842140574008226,0.8652274012565613,0.8720696568489075,10000.0,0.026888864114880562,0.9714829325675964,0.7961001396179199,0.40615275502204895,-0.5414291620254517
raw_minilm,43,retrieval,0.8563106656074524,0.728214681148529,0.12809598445892334,0.12906919419765472,384.0,98.93663024902344,1.4014207943932369,0.08905716985464096,0.25959,58.60263839739907,0.18317438662052155,0.4461241066455841,0.6292985081672668,10000.0,0.22303710877895355,0.7583252191543579,0.3184758424758911,0.044724710285663605,-3.5022244453430176
raw_minilm,44,m0,0.7551175355911255,0.6427533626556396,0.11236417293548584,0.1303088366985321,384.0,100.60334777832031,0.9562396385883974,0.02441442385315895,1.0,57.496403700775105,0.04796379432082176,0.11808791756629944,0.1660517156124115,10000.0,0.2377648949623108,0.791912317276001,0.3192436695098877,0.05263682082295418,-3.757115364074707
