model,seed,branch,target_family,target_delta,non_target_mean_delta
all_minilm,42,classification,Классификация,-0.059213421052631623,-0.17517740968283613
all_minilm,42,retrieval,Поиск,-0.00477999999999995,-0.011863529144987374
all_minilm,42,sts,STS,0.011077622175202117,-0.02793563684210527
all_minilm,43,classification,Классификация,-0.05657163157894738,-0.17023688224163488
all_minilm,43,retrieval,Поиск,-0.00330999999999995,-0.014196166777605353
all_minilm,43,sts,STS,0.013408049351381316,-0.03261148771929824
all_minilm,44,classification,Классификация,-0.059712502631578956,-0.1721122022615346
all_minilm,44,retrieval,Поиск,-0.003699999999999975,-0.014589497555480233
all_minilm,44,sts,STS,0.012571178071301916,-0.03032911052631579
