model,seed,branch,step,fraction,sample_size,dimension,mean_cosine,cosine_std,uniformity,effective_rank,participation_ratio,top_eigenvalue_share,top10_eigenvalue_share,hubness_skew_k10,neighborhood_preservation
all_minilm,42,classification,0,0.0,10000.0,384.0,0.0430512838065624,0.0865215584635734,-3.7631335258483887,203.61087036132807,134.13811289384162,0.0300876442342996,0.181974172592163,1.6685527377486646,1.0
all_minilm,42,classification,68,0.25,10000.0,384.0,0.7167374491691589,0.0870786309242248,-1.0775997638702393,108.86470794677734,32.48541664108521,0.1372357010841369,0.385498046875,3.5503219252245386,0.20713
all_minilm,42,classification,135,0.5,10000.0,384.0,0.8041365742683411,0.0763770937919616,-0.7406548261642456,58.72608947753906,14.477015607670513,0.2138228714466095,0.5340325832366943,2.788586744423762,0.15706
all_minilm,42,classification,270,1.0,10000.0,384.0,0.8100769519805908,0.0819474309682846,-0.7109525203704834,45.75993728637695,10.805036024368032,0.2612709999084472,0.5858566164970398,2.629460971071856,0.13479
all_minilm,42,control,0,0.0,10000.0,384.0,0.0430512838065624,0.0865215584635734,-3.7631335258483887,203.61087036132807,134.13811289384162,0.0300876442342996,0.181974172592163,1.6685527377486646,1.0
all_minilm,42,control,68,0.25,10000.0,384.0,0.0069412682205438,0.0723945647478103,-3.928481578826904,239.1791534423828,187.884206284598,0.0160304047167301,0.119484543800354,1.4144750501251755,0.53508
all_minilm,42,control,135,0.5,10000.0,384.0,0.0040357545949518,0.0711838155984878,-3.9417335987091056,242.5692443847656,193.9715944184951,0.0146163422614336,0.1125185042619705,1.2519601752024927,0.4870799999999999
all_minilm,42,control,270,1.0,10000.0,384.0,0.0033106468617916,0.0708851441740989,-3.9450416564941406,243.43283081054688,195.85063654939205,0.0138887166976928,0.1098730191588401,1.2002912818005622,0.4542
all_minilm,42,retrieval,0,0.0,10000.0,384.0,0.0430512838065624,0.0865215584635734,-3.7631335258483887,203.61087036132807,134.13811289384162,0.0300876442342996,0.181974172592163,1.6685527377486646,1.0
all_minilm,42,retrieval,68,0.25,10000.0,384.0,0.0410448871552944,0.0842149555683136,-3.775132656097412,211.7587738037109,143.561728348747,0.0264852903783321,0.1716741621494293,1.537948945981289,0.766
all_minilm,42,retrieval,135,0.5,10000.0,384.0,0.0398562029004097,0.082821100950241,-3.782107591629028,215.84332275390625,149.03381908394428,0.0251201391220092,0.1650849431753158,1.5908174415015797,0.69539
all_minilm,42,retrieval,270,1.0,10000.0,384.0,0.036109872162342,0.081441231071949,-3.7991280555725098,219.2616729736328,153.87035527415375,0.0241656526923179,0.1592578142881393,1.6121799039338378,0.67385
all_minilm,42,sts,0,0.0,10000.0,384.0,0.0430512838065624,0.0865215584635734,-3.7631335258483887,203.61087036132807,134.13811289384162,0.0300876442342996,0.181974172592163,1.6685527377486646,1.0
all_minilm,42,sts,68,0.25,10000.0,384.0,0.2225141823291778,0.1007396951317787,-3.0258026123046875,178.94677734375,103.22904834958048,0.0390990637242794,0.230095088481903,2.2262706787358963,0.56501
all_minilm,42,sts,135,0.5,10000.0,384.0,0.5969304442405701,0.0796965286135673,-1.5640724897384644,164.67398071289062,90.22047907036765,0.042109441012144,0.2539794743061065,3.873929648990273,0.37851
all_minilm,42,sts,270,1.0,10000.0,384.0,0.6283057928085327,0.0686885342001915,-1.4507184028625488,172.20603942871094,98.88582761196778,0.0390584841370582,0.2360858023166656,4.107162015927619,0.38254
all_minilm,43,classification,0,0.0,10000.0,384.0,0.04233193770051,0.0864267647266388,-3.7660415172576895,203.61087036132807,134.13811289384162,0.0300876442342996,0.181974172592163,1.6685527377486646,1.0
all_minilm,43,classification,68,0.25,10000.0,384.0,0.7168829441070557,0.0881659537553787,-1.07574200630188,105.93983459472656,30.71497169227712,0.1443026512861251,0.3925221860408783,3.6206505255014942,0.2051599999999999
all_minilm,43,classification,135,0.5,10000.0,384.0,0.8029329776763916,0.0779197365045547,-0.7438523173332214,59.59235382080078,14.750270390389376,0.212385892868042,0.5320228338241577,2.731389166031845,0.15752
all_minilm,43,classification,270,1.0,10000.0,384.0,0.8063735365867615,0.0817781463265419,-0.7256742119789124,46.75367736816406,11.278732746521603,0.2507103085517883,0.5835384130477905,2.5111719676660265,0.13574
all_minilm,43,control,0,0.0,10000.0,384.0,0.04233193770051,0.0864267647266388,-3.7660415172576895,203.61087036132807,134.13811289384162,0.0300876442342996,0.181974172592163,1.6685527377486646,1.0
all_minilm,43,control,68,0.25,10000.0,384.0,0.0081108249723911,0.0737587958574295,-3.921961545944214,234.44435119628903,180.66702956941523,0.0178290605545043,0.1267966479063034,1.3367516532804258,0.55512
all_minilm,43,control,135,0.5,10000.0,384.0,0.007210501935333,0.0722649842500686,-3.927645683288574,239.56793212890625,188.5842528607351,0.0161972399801015,0.1183110699057579,1.4152953823940206,0.46287
all_minilm,43,control,270,1.0,10000.0,384.0,0.0049188006669282,0.0716207697987556,-3.937665939331055,241.22108459472656,191.50494630331963,0.015229532495141,0.115148477256298,1.346779823199446,0.44319
all_minilm,43,retrieval,0,0.0,10000.0,384.0,0.04233193770051,0.0864267647266388,-3.7660415172576895,203.61087036132807,134.13811289384162,0.0300876442342996,0.181974172592163,1.6685527377486646,1.0
all_minilm,43,retrieval,68,0.25,10000.0,384.0,0.0358570255339145,0.0830250531435012,-3.797527313232422,213.7801818847656,146.38492428765275,0.0263356175273656,0.1679559797048568,1.5242906268054135,0.7453
all_minilm,43,retrieval,135,0.5,10000.0,384.0,0.0369572639465332,0.0827833786606788,-3.7935845851898193,215.7657165527344,148.6942496917409,0.0255916267633438,0.1655907332897186,1.5775125877933478,0.7047
all_minilm,43,retrieval,270,1.0,10000.0,384.0,0.0344170667231082,0.0814808160066604,-3.8056893348693848,218.7863922119141,153.14997183060947,0.0244254767894744,0.1600866168737411,1.6286472980631843,0.68095
all_minilm,43,sts,0,0.0,10000.0,384.0,0.04233193770051,0.0864267647266388,-3.7660415172576895,203.61087036132807,134.13811289384162,0.0300876442342996,0.181974172592163,1.6685527377486646,1.0
all_minilm,43,sts,68,0.25,10000.0,384.0,0.2191616743803024,0.1007199361920356,-3.038952350616455,179.7890625,104.57845286781244,0.0387509055435657,0.2269465774297714,2.498252424759214,0.55302
all_minilm,43,sts,135,0.5,10000.0,384.0,0.6200417876243591,0.0753813832998275,-1.4763851165771484,165.45509338378906,91.058016753445,0.0414880998432636,0.2516766786575317,4.8361177118304655,0.3643999999999999
all_minilm,43,sts,270,1.0,10000.0,384.0,0.6452285051345825,0.0655264556407928,-1.3861041069030762,173.09854125976562,100.61113286172908,0.0380532331764698,0.2325771600008011,4.9692734144319886,0.37582
all_minilm,44,classification,0,0.0,10000.0,384.0,0.0422806441783905,0.0861261412501335,-3.76702880859375,203.61087036132807,134.13811289384162,0.0300876442342996,0.181974172592163,1.6685527377486646,1.0
all_minilm,44,classification,68,0.25,10000.0,384.0,0.717319667339325,0.0871545299887657,-1.0754181146621704,107.86732482910156,30.73957449882375,0.1452434360980987,0.3876127898693084,3.543341548287639,0.20274
all_minilm,44,classification,135,0.5,10000.0,384.0,0.8131117224693298,0.0750073790550232,-0.7064155340194702,58.36343002319336,14.084313863494067,0.2197706401348114,0.5342788100242615,2.725113377495785,0.15661
all_minilm,44,classification,270,1.0,10000.0,384.0,0.8099676370620728,0.0819040313363075,-0.7113597989082336,45.92147445678711,10.831497951193112,0.2595508396625519,0.584882378578186,2.5502725702820586,0.13688
all_minilm,44,control,0,0.0,10000.0,384.0,0.0422806441783905,0.0861261412501335,-3.76702880859375,203.61087036132807,134.13811289384162,0.0300876442342996,0.181974172592163,1.6685527377486646,1.0
all_minilm,44,control,68,0.25,10000.0,384.0,0.0072073559276759,0.0762784704566001,-3.9220800399780273,226.76223754882807,167.67551889125772,0.0210298541933298,0.1416149586439132,1.412023424977469,0.67416
