step,fraction,sample_size,dimension,mean_cosine,cosine_std,uniformity,effective_rank,participation_ratio,top_eigenvalue_share,top10_eigenvalue_share,hubness_skew_k10,neighborhood_preservation
0,0.0,10000.0,384.0,0.0422806441783905,0.08612614125013351,-3.76702880859375,203.61087036132812,134.13811289384162,0.03008764423429966,0.18197417259216309,1.6685527377486646,1.0
68,0.25,10000.0,384.0,0.038364820182323456,0.08278732001781464,-3.78810977935791,213.50877380371094,146.45875918020462,0.026291687041521072,0.1674361675977707,1.5611035573769974,0.7604
135,0.5,10000.0,384.0,0.03558279946446419,0.08156958967447281,-3.8010880947113037,216.9281463623047,151.32489390820732,0.02474024146795273,0.16153490543365479,1.6124117318437214,0.71105
270,1.0,10000.0,384.0,0.034929174929857254,0.08125055581331253,-3.804227590560913,218.49072265625,153.06850369399146,0.024182291701436043,0.16019703447818756,1.5842462653504161,0.6603699999999999
