step,fraction,sample_size,dimension,mean_cosine,cosine_std,uniformity,effective_rank,participation_ratio,top_eigenvalue_share,top10_eigenvalue_share,hubness_skew_k10,neighborhood_preservation
0,0.0,10000.0,384.0,0.0422806441783905,0.08612614125013351,-3.76702880859375,203.61087036132812,134.13811289384162,0.03008764423429966,0.18197417259216309,1.6685527377486646,1.0
68,0.25,10000.0,384.0,0.11267810314893723,0.08750194311141968,-3.485276937484741,213.3658905029297,142.90575290465543,0.02611931413412094,0.17458316683769226,1.7986915716813356,0.6109899999999999
135,0.5,10000.0,384.0,0.17623890936374664,0.09550923109054565,-3.2199485301971436,209.70169067382812,134.96816438571517,0.032193493098020554,0.1846216917037964,2.518751805737099,0.54382
270,1.0,10000.0,384.0,0.20306183397769928,0.10348138213157654,-3.100587844848633,208.52745056152344,130.55837772054124,0.03648488596081734,0.18954719603061676,3.133086067708648,0.47676999999999997
