step,fraction,sample_size,dimension,mean_cosine,cosine_std,uniformity,effective_rank,participation_ratio,top_eigenvalue_share,top10_eigenvalue_share,hubness_skew_k10,neighborhood_preservation
0,0.0,10000.0,384.0,0.043051283806562424,0.08652155846357346,-3.7631335258483887,203.61087036132812,134.13811289384162,0.03008764423429966,0.18197417259216309,1.6685527377486646,1.0
68,0.25,10000.0,384.0,0.21560175716876984,0.09543843567371368,-3.063448905944824,209.1361846923828,134.7317261942279,0.0318765789270401,0.18565228581428528,2.743973225360717,0.5025299999999999
135,0.5,10000.0,384.0,0.3967982530593872,0.1166004091501236,-2.307708501815796,182.15191650390625,93.6686150156605,0.057640738785266876,0.23804768919944763,4.3010177850066755,0.38416
270,1.0,10000.0,384.0,0.4609662592411041,0.1293858140707016,-2.0308845043182373,168.1725311279297,76.60231512438347,0.06938989460468292,0.2673318386077881,4.5244433855083885,0.31981
