step,fraction,sample_size,dimension,mean_cosine,cosine_std,uniformity,effective_rank,participation_ratio,top_eigenvalue_share,top10_eigenvalue_share,hubness_skew_k10,neighborhood_preservation
0,0.0,10000.0,384.0,0.042331937700510025,0.0864267647266388,-3.7660415172576904,203.61087036132812,134.13811289384162,0.03008764423429966,0.18197417259216309,1.6685527377486646,1.0
68,0.25,10000.0,384.0,0.4503825008869171,0.09842578321695328,-2.123867988586426,188.18226623535156,105.26017200060484,0.04603952169418335,0.22617118060588837,4.9313538505611465,0.33533
135,0.5,10000.0,384.0,0.6511328220367432,0.0877830982208252,-1.3378604650497437,132.2305908203125,48.26800507037418,0.10035528987646103,0.3329428434371948,3.959905407270739,0.31695
270,1.0,10000.0,384.0,0.6788983345031738,0.08702342957258224,-1.2283841371536255,128.5595703125,44.88684526262367,0.10582676529884338,0.34233373403549194,4.21253122511776,0.30216000000000004
