step,fraction,sample_size,dimension,mean_cosine,cosine_std,uniformity,effective_rank,participation_ratio,top_eigenvalue_share,top10_eigenvalue_share,hubness_skew_k10,neighborhood_preservation
0,0.0,10000.0,384.0,0.0422806441783905,0.08612614125013351,-3.76702880859375,203.61087036132812,134.13811289384162,0.03008764423429966,0.18197417259216309,1.6685527377486646,1.0
68,0.25,10000.0,384.0,0.16086335480213165,0.09130087494850159,-3.2874932289123535,206.72726440429688,133.8712675215073,0.028075389564037323,0.18607699871063232,1.980311922722173,0.58092
135,0.5,10000.0,384.0,0.3180718719959259,0.10142087936401367,-2.645982265472412,197.06536865234375,117.62159385308709,0.039238832890987396,0.20708078145980835,3.6290559938353457,0.45913999999999994
270,1.0,10000.0,384.0,0.30552345514297485,0.11011292040348053,-2.682016134262085,193.76588439941406,111.42458522349578,0.04387499392032623,0.21490636467933655,3.5333513248702832,0.44985
