step,fraction,sample_size,dimension,mean_cosine,cosine_std,uniformity,effective_rank,participation_ratio,top_eigenvalue_share,top10_eigenvalue_share,hubness_skew_k10,neighborhood_preservation
0,0.0,10000.0,384.0,0.042331937700510025,0.0864267647266388,-3.7660415172576904,203.61087036132812,134.13811289384162,0.03008764423429966,0.18197417259216309,1.6685527377486646,1.0
68,0.25,10000.0,384.0,0.22714827954769135,0.10006653517484665,-3.0084705352783203,181.7611541748047,106.60696663135207,0.038447678089141846,0.22321893274784088,2.406039964829768,0.55053
135,0.5,10000.0,384.0,0.6276586055755615,0.07277799397706985,-1.4489668607711792,168.9835205078125,95.19876340674465,0.04051245376467705,0.2431185245513916,4.55731430165459,0.35818
270,1.0,10000.0,384.0,0.6360307931900024,0.06557978689670563,-1.4228613376617432,174.90280151367188,102.76168619552321,0.037986595183610916,0.22855699062347412,4.832074433954818,0.38583999999999996
