step,fraction,sample_size,dimension,mean_cosine,cosine_std,uniformity,effective_rank,participation_ratio,top_eigenvalue_share,top10_eigenvalue_share,hubness_skew_k10
0,0.0,10000.0,384.0,0.8726832270622253,0.03830495476722717,-0.4980417788028717,67.0517578125,26.377473865523843,0.11394854635000229,0.514404833316803,1.993452456276004
195,0.25,10000.0,384.0,0.07945854216814041,0.13721255958080292,-3.5196807384490967,84.62869262695312,46.373630771388825,0.06260515749454498,0.37422987818717957,0.92901293649817
390,0.5,10000.0,384.0,0.03658979758620262,0.1332671195268631,-3.701185703277588,94.4587631225586,53.24453036416765,0.05512513220310211,0.3382400870323181,0.9091545189132443
781,1.0,10000.0,384.0,0.02441442385315895,0.1303088366985321,-3.757115364074707,100.60334777832031,57.496403700775105,0.05263682082295418,0.3192436695098877,0.9562396385883974
