step,fraction,sample_size,dimension,mean_cosine,cosine_std,uniformity,effective_rank,participation_ratio,top_eigenvalue_share,top10_eigenvalue_share,hubness_skew_k10,neighborhood_preservation
0,0.0,10000.0,384.0,0.043051283806562424,0.08652155846357346,-3.7631335258483887,203.61087036132812,134.13811289384162,0.03008764423429966,0.18197417259216309,1.6685527377486646,1.0
68,0.25,10000.0,384.0,0.3154669404029846,0.09685806930065155,-2.663504123687744,199.8723602294922,121.88709238071361,0.035956066101789474,0.20365531742572784,3.6555353804186614,0.42913999999999997
135,0.5,10000.0,384.0,0.6306183338165283,0.08979865163564682,-1.41746985912323,146.2943878173828,58.29989878514671,0.08896797895431519,0.3046465814113617,4.473034635041542,0.30677000000000004
270,1.0,10000.0,384.0,0.6736181378364563,0.08735624700784683,-1.2489447593688965,129.5667724609375,45.2268992513332,0.10532542318105698,0.3396841883659363,4.383990901194323,0.28820999999999997
