step,fraction,sample_size,dimension,mean_cosine,cosine_std,uniformity,effective_rank,participation_ratio,top_eigenvalue_share,top10_eigenvalue_share,hubness_skew_k10,neighborhood_preservation
0,0.0,10000.0,384.0,0.042331937700510025,0.0864267647266388,-3.7660415172576904,203.61087036132812,134.13811289384162,0.03008764423429966,0.18197417259216309,1.6685527377486646,1.0
68,0.25,10000.0,384.0,0.035857025533914566,0.08302505314350128,-3.797527313232422,213.78018188476562,146.38492428765275,0.026335617527365685,0.16795597970485687,1.5242906268054137,0.7453
135,0.5,10000.0,384.0,0.0369572639465332,0.08278337866067886,-3.7935845851898193,215.76571655273438,148.6942496917409,0.02559162676334381,0.16559073328971863,1.5775125877933478,0.7047
270,1.0,10000.0,384.0,0.03441706672310829,0.08148081600666046,-3.8056893348693848,218.78639221191406,153.14997183060947,0.024425476789474487,0.16008661687374115,1.6286472980631845,0.68095
