step,fraction,sample_size,dimension,mean_cosine,cosine_std,uniformity,effective_rank,participation_ratio,top_eigenvalue_share,top10_eigenvalue_share,hubness_skew_k10,neighborhood_preservation
0,0.0,10000.0,384.0,0.042331937700510025,0.0864267647266388,-3.7660415172576904,203.61087036132812,134.13811289384162,0.03008764423429966,0.18197417259216309,1.6685527377486646,1.0
68,0.25,10000.0,384.0,0.037971656769514084,0.08334964513778687,-3.7885608673095703,213.12957763671875,145.87875879346146,0.026375528424978256,0.16790592670440674,1.558139940717651,0.77859
135,0.5,10000.0,384.0,0.03672155737876892,0.08227091282606125,-3.7953367233276367,216.70803833007812,150.2568773850626,0.025263141840696335,0.16347959637641907,1.5712189120988493,0.7059799999999999
270,1.0,10000.0,384.0,0.034365855157375336,0.08146791905164719,-3.8058857917785645,218.78439331054688,153.21280177887985,0.024429811164736748,0.1599823385477066,1.5900458638681627,0.67504
