step,fraction,sample_size,dimension,mean_cosine,cosine_std,uniformity,effective_rank,participation_ratio,top_eigenvalue_share,top10_eigenvalue_share,hubness_skew_k10,neighborhood_preservation
0,0.0,10000.0,384.0,0.042331937700510025,0.0864267647266388,-3.7660415172576904,203.61087036132812,134.13811289384162,0.03008764423429966,0.18197417259216309,1.6685527377486646,1.0
68,0.25,10000.0,384.0,0.0879327729344368,0.08896041661500931,-3.5808534622192383,202.29116821289062,131.3875003077707,0.030049245804548264,0.1866210252046585,1.659419358040612,0.7115
135,0.5,10000.0,384.0,0.2240171879529953,0.09830278903245926,-3.02435302734375,190.418212890625,116.3647627839548,0.033813055604696274,0.208931565284729,2.3377009976606087,0.5526200000000001
270,1.0,10000.0,384.0,0.3127582371234894,0.10241013765335083,-2.6651248931884766,186.96702575683594,112.34057054363933,0.034257933497428894,0.21544191241264343,2.9702100183858,0.5021899999999999
