step,fraction,sample_size,dimension,mean_cosine,cosine_std,uniformity,effective_rank,participation_ratio,top_eigenvalue_share,top10_eigenvalue_share,hubness_skew_k10,neighborhood_preservation
0,0.0,10000.0,384.0,0.02441442385315895,0.1303088366985321,-3.757115364074707,100.60334777832031,57.496403700775105,0.05263682082295418,0.3192436695098877,0.9562396385883974,1.0
68,0.25,10000.0,384.0,0.024442920461297035,0.1261361539363861,-3.7665481567382812,107.12173461914062,61.92549948208412,0.04988950490951538,0.30330827832221985,1.0578217928913134,0.74255
135,0.5,10000.0,384.0,0.021163705736398697,0.12174277007579803,-3.789684772491455,112.49739074707031,66.10517067764701,0.044868580996990204,0.2891121208667755,1.046632417954548,0.6541899999999999
270,1.0,10000.0,384.0,0.012289016507565975,0.1189185380935669,-3.830998182296753,116.36618041992188,69.662969950506,0.0419776476919651,0.27677056193351746,1.0719604786019867,0.6086699999999999
