step,fraction,sample_size,dimension,mean_cosine,cosine_std,uniformity,effective_rank,participation_ratio,top_eigenvalue_share,top10_eigenvalue_share,hubness_skew_k10,neighborhood_preservation
0,0.0,10000.0,384.0,0.0422806441783905,0.08612614125013351,-3.76702880859375,203.61087036132812,134.13811289384162,0.03008764423429966,0.18197417259216309,1.6685527377486646,1.0
68,0.25,10000.0,384.0,0.22048138082027435,0.10025384277105331,-3.0351204872131348,179.65951538085938,103.7954807882287,0.03866633400321007,0.22931352257728577,2.106937098288987,0.55695
135,0.5,10000.0,384.0,0.5994597673416138,0.08090990036725998,-1.5528103113174438,164.37351989746094,89.31496353317868,0.04244169220328331,0.2562406063079834,4.050240561325376,0.37604
270,1.0,10000.0,384.0,0.6299241781234741,0.0690595731139183,-1.4440438747406006,172.8487091064453,99.16307623453267,0.038633134216070175,0.23626212775707245,4.51127156387884,0.3786
