step,fraction,sample_size,dimension,mean_cosine,cosine_std,uniformity,effective_rank,participation_ratio,top_eigenvalue_share,top10_eigenvalue_share,hubness_skew_k10,neighborhood_preservation
0,0.0,10000.0,384.0,0.042331937700510025,0.0864267647266388,-3.7660415172576904,203.61087036132812,134.13811289384162,0.03008764423429966,0.18197417259216309,1.6685527377486646,1.0
68,0.25,10000.0,384.0,0.06156476214528084,0.08188328891992569,-3.6971242427825928,220.8213653564453,155.17780369267993,0.023787735030055046,0.15893112123012543,1.6437816142729047,0.65589
135,0.5,10000.0,384.0,0.15721409022808075,0.09201760590076447,-3.3010997772216797,212.96743774414062,140.9236239704378,0.028586678206920624,0.17691564559936523,2.359658868704824,0.53227
270,1.0,10000.0,384.0,0.19475790858268738,0.10048335045576096,-3.138345956802368,209.9990692138672,134.05582552638785,0.03398692607879639,0.18522748351097107,2.997527416118563,0.48627
