step,fraction,sample_size,dimension,mean_cosine,cosine_std,uniformity,effective_rank,participation_ratio,top_eigenvalue_share,top10_eigenvalue_share,hubness_skew_k10,neighborhood_preservation
0,0.0,10000.0,384.0,0.042331937700510025,0.0864267647266388,-3.7660415172576904,203.61087036132812,134.13811289384162,0.03008764423429966,0.18197417259216309,1.6685527377486646,1.0
68,0.25,10000.0,384.0,0.415222704410553,0.10599670559167862,-2.252288341522217,187.72215270996094,102.13830677578551,0.05054439976811409,0.22792372107505798,4.596422363086803,0.37091999999999997
135,0.5,10000.0,384.0,0.6085178256034851,0.117810919880867,-1.4649139642715454,128.40170288085938,44.8759908580056,0.10580261051654816,0.3464109003543854,4.070448373917435,0.25856
270,1.0,10000.0,384.0,0.5840499401092529,0.13661128282546997,-1.529693603515625,126.49343872070312,43.51168913900453,0.1062573492527008,0.3533511459827423,4.2097971005982755,0.25338
