step,fraction,sample_size,dimension,mean_cosine,cosine_std,uniformity,effective_rank,participation_ratio,top_eigenvalue_share,top10_eigenvalue_share,hubness_skew_k10,neighborhood_preservation
0,0.0,10000.0,384.0,0.043051283806562424,0.08652155846357346,-3.7631335258483887,203.61087036132812,134.13811289384162,0.03008764423429966,0.18197417259216309,1.6685527377486646,1.0
68,0.25,10000.0,384.0,0.13454246520996094,0.09022516757249832,-3.393878698348999,204.9132080078125,131.878664692975,0.02919793128967285,0.1887766569852829,1.7367786039822894,0.60992
135,0.5,10000.0,384.0,0.40502649545669556,0.10182475298643112,-2.2994558811187744,185.56689453125,104.7244498922019,0.04297715425491333,0.22883623838424683,3.968170105207923,0.42113
270,1.0,10000.0,384.0,0.47785547375679016,0.10227985680103302,-2.009178638458252,177.07464599609375,93.32021091288426,0.05260205641388893,0.24415826797485352,4.392709646052532,0.38456999999999997
