step,fraction,sample_size,dimension,mean_cosine,cosine_std,uniformity,effective_rank,participation_ratio,top_eigenvalue_share,top10_eigenvalue_share,hubness_skew_k10,neighborhood_preservation
0,0.0,10000.0,384.0,0.043051283806562424,0.08652155846357346,-3.7631335258483887,203.61087036132812,134.13811289384162,0.03008764423429966,0.18197417259216309,1.6685527377486646,1.0
68,0.25,10000.0,384.0,0.4079514741897583,0.09582823514938354,-2.2964577674865723,188.02781677246094,108.30574232316981,0.03894464671611786,0.22366926074028015,3.8597883683440255,0.36364
135,0.5,10000.0,384.0,0.691932201385498,0.06481610983610153,-1.2004221677780151,151.862060546875,65.96691429702948,0.07837609946727753,0.28797638416290283,4.780323533672097,0.30803
270,1.0,10000.0,384.0,0.6892873644828796,0.06300564110279083,-1.212477445602417,146.305419921875,58.568901736928815,0.08907833695411682,0.296741247177124,4.747609250005925,0.3176
