step,fraction,sample_size,dimension,mean_cosine,cosine_std,uniformity,effective_rank,participation_ratio,top_eigenvalue_share,top10_eigenvalue_share,hubness_skew_k10,neighborhood_preservation
0,0.0,10000.0,384.0,0.043051283806562424,0.08652155846357346,-3.7631335258483887,203.61087036132812,134.13811289384162,0.03008764423429966,0.18197417259216309,1.6685527377486646,1.0
68,0.25,10000.0,384.0,0.042066678404808044,0.08464042097330093,-3.7704381942749023,210.95816040039062,142.4778618952444,0.027052082121372223,0.17282289266586304,1.5684320465984893,0.7674200000000001
135,0.5,10000.0,384.0,0.03761729225516319,0.08283678442239761,-3.790994882583618,215.2179412841797,148.83322114992285,0.025612404569983482,0.16436564922332764,1.628218116592158,0.7367199999999999
270,1.0,10000.0,384.0,0.034973274916410446,0.08179078996181488,-3.8031389713287354,218.1953582763672,152.4556326763351,0.02480052039027214,0.16065263748168945,1.6197213052707178,0.69217
