step,fraction,sample_size,dimension,mean_cosine,cosine_std,uniformity,effective_rank,participation_ratio,top_eigenvalue_share,top10_eigenvalue_share,hubness_skew_k10,neighborhood_preservation
0,0.0,10000.0,384.0,0.02326846681535244,0.1299644559621811,-3.762267827987671,101.5591812133789,58.161107254744984,0.05343044921755791,0.31378865242004395,0.9208225148854537,1.0
68,0.25,10000.0,384.0,0.8638197779655457,0.06944508105516434,-0.5095698237419128,22.237253189086914,6.523186858104328,0.34427425265312195,0.7091913223266602,1.9807056272546528,0.14467
135,0.5,10000.0,384.0,0.8577749729156494,0.07779059559106827,-0.5248640775680542,16.46070098876953,5.261612694388512,0.38520270586013794,0.7666170597076416,1.8385451122273064,0.1273
270,1.0,10000.0,384.0,0.8562639355659485,0.08803163468837738,-0.5201129913330078,13.820038795471191,4.656995150458588,0.4141339361667633,0.7951542139053345,1.7990854550434532,0.11022
