step,fraction,sample_size,dimension,mean_cosine,cosine_std,uniformity,effective_rank,participation_ratio,top_eigenvalue_share,top10_eigenvalue_share,hubness_skew_k10,neighborhood_preservation
0,0.0,10000.0,384.0,0.042331937700510025,0.0864267647266388,-3.7660415172576904,203.61087036132812,134.13811289384162,0.03008764423429966,0.18197417259216309,1.6685527377486646,1.0
68,0.25,10000.0,384.0,0.12500092387199402,0.08783988654613495,-3.435666084289551,213.8868408203125,143.68062530876517,0.026080496609210968,0.17374518513679504,1.9666028247022034,0.59524
135,0.5,10000.0,384.0,0.29122304916381836,0.10111584514379501,-2.7534427642822266,202.3541717529297,124.77524393150466,0.03612709045410156,0.1978708952665329,3.8211148826561883,0.44566999999999996
270,1.0,10000.0,384.0,0.3234257698059082,0.11252501606941223,-2.606428623199463,190.8960418701172,107.39482195548393,0.045747656375169754,0.22113335132598877,3.9085160906216503,0.42826000000000003
