step,fraction,sample_size,dimension,mean_cosine,cosine_std,uniformity,effective_rank,participation_ratio,top_eigenvalue_share,top10_eigenvalue_share,hubness_skew_k10,neighborhood_preservation
0,0.0,10000.0,384.0,0.042331937700510025,0.0864267647266388,-3.7660415172576904,203.61087036132812,134.13811289384162,0.03008764423429966,0.18197417259216309,1.6685527377486646,1.0
68,0.25,10000.0,384.0,0.16673466563224792,0.0962987169623375,-3.255347728729248,190.3949737548828,116.26478242303025,0.03435269743204117,0.2089560329914093,2.0367578544711895,0.63007
135,0.5,10000.0,384.0,0.43076497316360474,0.09705419838428497,-2.2034804821014404,177.08224487304688,101.73469207999449,0.037992022931575775,0.23309218883514404,3.613775762697136,0.46698
270,1.0,10000.0,384.0,0.49388226866722107,0.09461130946874619,-1.9560422897338867,175.8620147705078,100.88191519332993,0.03723369911313057,0.23498322069644928,3.9184373782573862,0.45050999999999997
