step,fraction,sample_size,dimension,mean_cosine,cosine_std,uniformity,effective_rank,participation_ratio,top_eigenvalue_share,top10_eigenvalue_share,hubness_skew_k10,neighborhood_preservation
0,0.0,10000.0,384.0,0.0422806441783905,0.08612614125013351,-3.76702880859375,203.61087036132812,134.13811289384162,0.03008764423429966,0.18197417259216309,1.6685527377486646,1.0
68,0.25,10000.0,384.0,0.28321442008018494,0.09419582784175873,-2.7960333824157715,203.22183227539062,127.79925104534045,0.03260091319680214,0.19488947093486786,3.273397032584746,0.49532999999999994
135,0.5,10000.0,384.0,0.48901858925819397,0.10294495522975922,-1.9631282091140747,169.60487365722656,82.12391121366372,0.06326817721128464,0.2596547305583954,4.3050813910020125,0.39163000000000003
270,1.0,10000.0,384.0,0.5705996751785278,0.10555847734212875,-1.635256052017212,154.29930114746094,64.52625887706742,0.08145494759082794,0.2903069257736206,4.300559547342619,0.32743
