step,fraction,sample_size,dimension,mean_cosine,cosine_std,uniformity,effective_rank,participation_ratio,top_eigenvalue_share,top10_eigenvalue_share,hubness_skew_k10,neighborhood_preservation
0,0.0,10000.0,384.0,0.042331937700510025,0.0864267647266388,-3.7660415172576904,203.61087036132812,134.13811289384162,0.03008764423429966,0.18197417259216309,1.6685527377486646,1.0
68,0.25,10000.0,384.0,0.22968024015426636,0.09605031460523605,-3.006331443786621,209.4655303955078,135.00058972653983,0.03105817176401615,0.1858716458082199,3.239115974247836,0.47261000000000003
135,0.5,10000.0,384.0,0.44121217727661133,0.11955015361309052,-2.1257362365722656,173.0314483642578,83.52115167644386,0.06385393440723419,0.25565510988235474,4.498272869847263,0.34358
270,1.0,10000.0,384.0,0.4421705901622772,0.14016826450824738,-2.0830423831939697,164.1704864501953,72.88414920699884,0.07127349078655243,0.2752460837364197,4.666348243942327,0.31145
