step,fraction,sample_size,dimension,mean_cosine,cosine_std,uniformity,effective_rank,participation_ratio,top_eigenvalue_share,top10_eigenvalue_share,hubness_skew_k10,neighborhood_preservation
0,0.0,10000.0,384.0,0.043051283806562424,0.08652155846357346,-3.7631335258483887,203.61087036132812,134.13811289384162,0.03008764423429966,0.18197417259216309,1.6685527377486646,1.0
68,0.25,10000.0,384.0,0.7167374491691589,0.08707863092422485,-1.0775997638702393,108.86470794677734,32.48541664108521,0.13723570108413696,0.385498046875,3.5503219252245386,0.20713
135,0.5,10000.0,384.0,0.8041365742683411,0.07637709379196167,-0.7406548261642456,58.72608947753906,14.477015607670511,0.2138228714466095,0.5340325832366943,2.7885867444237626,0.15706
270,1.0,10000.0,384.0,0.8100769519805908,0.0819474309682846,-0.7109525203704834,45.75993728637695,10.805036024368032,0.26127099990844727,0.5858566164970398,2.6294609710718557,0.13479000000000002
