branch,seed,AG News,sts,classification_transfer,clustering,retrieval,effective_rank,top10_eigenvalue_share,neighborhood_preservation,retrieval_margin
control,42,-0.0160526315789474,0.0134837778832155,0.0184321249999999,-0.0511455,-0.0033424999999999,40.1627960205079,-0.06822974234819411,-0.59219,-0.0036270171403884888
control,43,-0.0118421052631579,0.0129354736329264,0.0125551874999999,-0.0320855,-0.0065549999999999,35.34577941894537,-0.0637304931879043,-0.53984,-0.002863660454750089
control,44,-0.0075,0.0099717789276309,0.0094344375,-0.0220285,-0.0009175,30.500671386718807,-0.052924886345863315,-0.40164,0.0016960501670836847
mix_s000_c000_r100,42,-0.0053947368421053,0.0005660229809314,0.0068519999999999,-0.0412455,-0.0028999999999999,14.58448791503912,-0.021321535110473605,-0.30783000000000005,0.058940261602401706
mix_s000_c000_r100,43,-0.0063157894736842,0.0001275415515433,0.0081720624999999,-0.045075,-0.0041049999999999,15.173522949218807,-0.0219918340444564,-0.32496,0.059139400720596286
mix_s000_c000_r100,44,-0.0073684210526315,-1.6016165560461817e-07,0.0087375624999999,-0.05485,-0.0047724999999999,14.879852294921932,-0.021777138113975497,-0.3396300000000001,0.05920010805130008
mix_s000_c020_r080,42,0.0028947368421051,-0.0076669709057569,0.0067670624999999,-0.054048,-0.0090599999999999,7.000625610351619,0.0025683790445328036,-0.50637,0.038819029927253695
mix_s000_c020_r080,43,0.0043421052631578,-0.0105506424725964,0.0063101249999999,-0.058006,-0.0085849999999999,6.388198852539119,0.003253310918808011,-0.51373,0.03735758364200589
mix_s000_c020_r080,44,0.0047368421052631,-0.0100891070037929,0.006835375,-0.048805,-0.0096149999999999,4.916580200195369,0.007573023438453702,-0.5232300000000001,0.0387154966592789
mix_s000_c040_r060,42,0.0109210526315789,-0.0537007081930054,-0.00408875,-0.068481,-0.0228349999999999,-35.43833923339838,0.08535766601562508,-0.6801900000000001,0.007925197482109098
mix_s000_c040_r060,43,0.0121052631578947,-0.0582922910915026,-0.0066075624999999,-0.0700175,-0.0254349999999999,-39.440383911132756,0.09327191114425668,-0.68855,0.015640035271644592
mix_s000_c040_r060,44,0.0098684210526315,-0.0513063011417372,-0.0040196249999999,-0.068915,-0.0223674999999999,-35.11613464355463,0.08546969294548037,-0.68286,0.013517543673515292
mix_s000_c060_r040,42,0.0163157894736841,-0.0967168957326701,-0.0197111875,-0.072627,-0.0495674999999999,-74.44592285156244,0.1647895574569703,-0.74769,-0.01941986382007599
mix_s000_c060_r040,43,0.0172368421052631,-0.0995249202571843,-0.0237832499999999,-0.0815185,-0.0558824999999999,-77.11743164062494,0.1713769733905793,-0.7466200000000001,-0.014287784695625305
mix_s000_c060_r040,44,0.0151315789473683,-0.0930579664073442,-0.022384,-0.076783,-0.0484324999999999,-69.63613891601557,0.1561494171619416,-0.7452,-0.013261079788208008
mix_s000_c080_r020,42,0.0189473684210526,-0.1356380292121029,-0.040218125,-0.0823745,-0.0910499999999999,-112.77280426025385,0.2568683922290803,-0.79779,-0.06088800728321081
mix_s000_c080_r020,43,0.0203947368421052,-0.1265027576960345,-0.0378261875,-0.074929,-0.089375,-107.8209381103515,0.2444616258144379,-0.7871,-0.06252627074718481
mix_s000_c080_r020,44,0.0178947368421051,-0.1290608787468005,-0.0373525625,-0.0826814999999999,-0.0901224999999999,-105.88906860351557,0.23976558446884158,-0.789,-0.0529763400554657
mix_s000_c100_r000,42,0.0221052631578947,-0.1945019699866178,-0.0800894375,-0.1014235,-0.263255,-157.1353149414062,0.4013592004776002,-0.86709,-0.1730199363082648
mix_s000_c100_r000,43,0.0189473684210526,-0.194263346301172,-0.0767352499999999,-0.0948125,-0.25473,-157.97511672973627,0.40454941987991344,-0.86652,-0.1712462529540062
mix_s000_c100_r000,44,0.0211842105263156,-0.1850392004600551,-0.0786734375,-0.099085,-0.2444974999999999,-155.34504699707026,0.3938134312629701,-0.8661,-0.1716872211545706
mix_s020_c000_r080,42,-0.0015789473684211,0.0033118568574171,0.0113730625,-0.032983,0.00244,7.568801879882841,-0.008548945188522311,-0.32426999999999995,0.044229626655578586
