step,fraction,sample_size,dimension,mean_cosine,cosine_std,uniformity,effective_rank,participation_ratio,top_eigenvalue_share,top10_eigenvalue_share,hubness_skew_k10,neighborhood_preservation
0,0.0,10000.0,384.0,0.042331937700510025,0.0864267647266388,-3.7660415172576904,203.61087036132812,134.13811289384162,0.03008764423429966,0.18197417259216309,1.6685527377486646,1.0
68,0.25,10000.0,384.0,0.2983444631099701,0.09737426787614822,-2.7308709621429443,200.72802734375,123.94665219571819,0.03435942903161049,0.20010489225387573,3.7396072094792894,0.46531999999999996
135,0.5,10000.0,384.0,0.521236777305603,0.10075045377016068,-1.838320016860962,168.03184509277344,80.9797469284508,0.06334889680147171,0.2622925341129303,4.535081041129984,0.35781
270,1.0,10000.0,384.0,0.5882430672645569,0.10463739186525345,-1.566022515296936,146.7904510498047,59.21715837508436,0.08555930852890015,0.3047204315662384,4.426090953508165,0.314
