branch,weight_sts,weight_classification,weight_retrieval,classification_mean,classification_std,classification_transfer_mean,classification_transfer_std,clustering_mean,clustering_std,retrieval_mean,retrieval_std,sts_mean,sts_std,ag_news_mean,ag_news_std,broad_mean,broad_worst
control,,,,0.008419484210526266,0.002818400671211137,0.0134739166666666,0.004568658725290902,-0.0350865,0.014788658593665618,-0.0036049999999999333,0.002827902270234906,0.0121303434812576,0.0018893676420568596,-0.0117982456140351,0.004276484477104759,-0.003271809963018934,-0.0350865
mix_s000_c000_r100,0.0,0.0,1.0,0.005064503508771866,0.0005857991614104743,0.007920541666666567,0.0009676174515541165,-0.04705683333333333,0.007015436735038908,-0.0039258333333332335,0.0009490203281981548,0.0002311347902730318,0.00029696718180686316,-0.006359649122807,0.000987572828876933,-0.010707747552431741,-0.04705683333333333
mix_s000_c020_r080,0.0,0.2,0.8,0.0061082622807017,0.0002689252736358259,0.006637520833333267,0.00028558304077291283,-0.05361966666666667,0.0046154308935714055,-0.009086666666666568,0.0005155175393071834,-0.0094355734607154,0.0015489415725892363,0.003991228070175333,0.0009698835257674209,-0.01637609649017884,-0.05361966666666667
mix_s000_c040_r060,0.0,0.4,0.6,-0.0017312675438595998,0.0009849016644332593,-0.004905312499999933,0.0014745968477116612,-0.06913783333333333,0.0007921168369207464,-0.023545833333333235,0.001652680272567362,-0.054433100142081726,0.0035501144164462746,0.0109649122807017,0.0011190658615941507,-0.038005519827187056,-0.06913783333333333
mix_s000_c060_r040,0.0,0.6,0.4,-0.014321969298245599,0.001611147714822327,-0.021959479166666632,0.002068957878843092,-0.07697616666666666,0.0044488962769807655,-0.051294166666666564,0.004013933025516659,-0.09643326079906621,0.0032427934879761915,0.016228070175438498,0.0010553692469751142,-0.061665768324766515,-0.09643326079906621
mix_s000_c080_r020,0.0,0.8,0.2,-0.026956710526315732,0.00123843885531133,-0.038465624999999996,0.0015360736791105581,-0.07999499999999997,0.004389969162761824,-0.09018249999999993,0.0008391103920223597,-0.13040055521831265,0.004712679302086566,0.01907894736842097,0.0012551831597591855,-0.08476092005457814,-0.13040055521831265
mix_s000_c100_r000,0.0,1.0,0.0,-0.058650377192982404,0.0010268557216190225,-0.07849937499999997,0.0016838547329621207,-0.09844033333333334,0.0033523165995074746,-0.25416083333333334,0.009391693914482855,-0.19126817224928164,0.005395767089029052,0.020745614035087633,0.0016239919808397664,-0.15559217847898707,-0.25416083333333334
mix_s020_c000_r080,0.2,0.0,0.8,0.008779123684210468,0.0005451559733098907,0.0110287291666666,0.0009436083116597514,-0.030627,0.0023610158830469534,0.0013841666666667,0.0016711043005549176,0.0017771564421584665,0.0013706892341934821,-0.0002192982456141001,0.0014553210546523396,-0.004109236931127059,-0.030627
mix_s020_c020_r060,0.2,0.2,0.6,0.0075303412280700996,0.0012185980271875187,0.0074173124999999005,0.001612078476881631,-0.04637983333333331,0.0052242894811957855,-0.010525833333333267,0.003773816315526356,-0.023366684769417,0.004289479960846003,0.007982456140350766,0.0005478068419647401,-0.018213759734020916,-0.04637983333333331
mix_s020_c040_r040,0.2,0.4,0.4,-0.0049311438596491,0.0008330845985328174,-0.009058666666666633,0.0011272585944681075,-0.051980500000000006,0.0029473997438420178,-0.03294249999999993,0.002746906214270835,-0.0657990964472573,0.0010574844478107525,0.011578947368420967,0.0009210526315789137,-0.039945190778480966,-0.0657990964472573
