branch,seed,classification_inter_distance,classification_intra_distance,classification_margin,cosine_std,dimension,effective_rank,hubness_skew_k10,mean_cosine,neighborhood_preservation,participation_ratio,retrieval_margin,retrieval_negative_cosine,retrieval_positive_cosine,sample_size,sts_alignment,sts_mean_cosine,top10_eigenvalue_share,top_eigenvalue_share,uniformity,weight_sts,weight_classification,weight_retrieval
control,0.0,0.007591187953948975,0.03913368781407678,-0.03154249986012777,-0.013965335985024765,0.0,35.33641560872405,-0.27353842146961216,-0.037542979853848635,-0.5112233333333334,53.24874748413444,-0.001598209142684992,-0.05871135989824933,-0.06030954917271936,0.0,0.04754519462585455,-0.035479168097178104,-0.06162837396065392,-0.013732531107962135,-0.17087181409200003,,,
mix_s000_c000_r100,0.0,0.0016803741455078125,0.018000861008962032,-0.016320486863454164,-0.004855066537857097,0.0,14.879287719726648,-0.07054825958556576,-0.007798520227273335,-0.32414,18.77419982256052,0.05909325679143271,-0.07347945372263592,-0.014386177062988281,0.0,0.04189209143320721,-0.02476755777994788,-0.021696835756301824,-0.00561676981548467,-0.03901616732279489,0.0,0.0,1.0
mix_s000_c020_r080,0.0,-0.31624243656794226,-0.31231228510538733,-0.003930151462554932,0.014946751296520205,0.0,6.101801554362055,1.3428995444980056,0.15464911858240757,-0.5144433333333334,-0.8820647441027916,0.038297370076179504,-0.045256356398264586,-0.006958961486816406,0.0,0.011025895675023434,0.0138167142868042,0.00446490446726483,0.004567651078104969,0.6380008856455484,0.0,0.2,0.8
mix_s000_c040_r060,0.0,-0.5955078502496083,-0.6298164576292038,0.03430860737959546,0.04828086992104848,0.0,-36.66495259602857,2.8860211877320925,0.40378346542517346,-0.6838666666666666,-58.879315381692535,0.012360925475756318,-0.003403643767038944,0.00895734628041589,0.0,-0.06470212340354917,0.08930708964665734,0.08803309003512075,0.04013342720766866,1.6872003078460693,0.0,0.4,0.6
mix_s000_c060_r040,0.0,-0.6752611398696899,-0.7315017630656561,0.056240623195966066,0.04663029313087459,0.0,-73.73316446940095,2.514488607464944,0.546033834417661,-0.7465033333333333,-88.56868162054914,-0.015656242767969786,0.044504523277282715,0.028848270575205448,0.0,-0.11340121428171793,0.13850663105646766,0.16410531600316372,0.07257926774521674,2.247003714243571,0.0,0.6,0.4
mix_s000_c080_r020,0.0,-0.6923262973626454,-0.7723133241136869,0.07998702675104144,0.028164543211460058,0.0,-108.82760365804027,1.9563271461303484,0.6418518175681431,-0.7912966666666666,-107.35804758177085,-0.058796872695287106,0.10488778352737427,0.04609094063440955,0.0,-0.15035671989123028,0.18001566330591834,0.24703186750411996,0.11803306701282662,2.597142815589905,0.0,0.8,0.2
mix_s000_c100_r000,0.0,-0.7252406428257625,-0.8086764588952065,0.08343581606944403,-0.007589273154735593,0.0,-156.8184928894042,0.9348815185524326,0.7756686757008235,-0.8665700000000001,-123.04562795573753,-0.1719844701389472,0.21708106994628906,0.04509665568669641,0.0,-0.20094204942385352,0.24942737817764282,0.39990735054016124,0.2256605383008719,3.083504021167755,0.0,1.0,0.0
mix_s020_c000_r080,0.0,-0.02896249294281006,-0.021426041920979855,-0.007536451021830259,0.0008802687128384584,0.0,6.211430867513116,-0.04796195645348256,0.02157903711001076,-0.3124933333333333,6.4891577832985945,0.04569114744663241,-0.05994732181231183,-0.014256139596303341,0.0,-0.003120740254719978,0.018405278523763058,-0.006445209185282352,-0.0027936293433110035,0.08670457204182913,0.2,0.0,0.8
mix_s020_c020_r060,0.0,-0.4417998790740967,-0.44446828961372375,0.002668410539627075,0.023294704655806214,0.0,-9.926188151041572,2.1540583132751285,0.2808908571799596,-0.5699233333333333,-22.909146723846177,0.014524539311726842,-0.005419095357259152,0.009105483690897587,0.0,-0.07058473428090414,0.10366062323252356,0.03386543691158295,0.01382173163195453,1.153990586598714,0.2,0.2,0.6
mix_s020_c040_r040,0.0,-0.6283004383246105,-0.6680044233798982,0.03970398505528769,0.028210682173569965,0.0,-53.764099121093665,2.791075303327413,0.5127482960621517,-0.6907666666666668,-73.55463837342336,-0.021868824958801325,0.06737959384918213,0.04551078875859582,0.0,-0.1432424535353978,0.18628686666488647,0.11929986874262502,0.053696595753232615,2.083555420239766,0.2,0.4,0.4
mix_s020_c060_r020,0.0,-0.6921405990918477,-0.7517519916097324,0.05961139251788458,0.009947811563809694,0.0,-95.075459798177,2.2895661728072056,0.6557659457127254,-0.7545166666666667,-101.44158039301789,-0.07022769252459204,0.1483592391014099,0.07813151677449548,0.0,-0.18918633212645847,0.24048815170923865,0.2094439665476482,0.10156396590173247,2.6262024243672686,0.2,0.6,0.2
