step,fraction,sample_size,dimension,mean_cosine,cosine_std,uniformity,effective_rank,participation_ratio,top_eigenvalue_share,top10_eigenvalue_share,hubness_skew_k10,neighborhood_preservation
0,0.0,10000.0,384.0,0.02441442385315895,0.1303088366985321,-3.757115364074707,100.60334777832031,57.496403700775105,0.05263682082295418,0.3192436695098877,0.9562396385883974,1.0
68,0.25,10000.0,384.0,0.8596048951148987,0.07481107860803604,-0.5211640000343323,22.496551513671875,6.750955138617469,0.34042346477508545,0.7117353081703186,1.918841476337682,0.14171
135,0.5,10000.0,384.0,0.8665986061096191,0.07493007183074951,-0.49301251769065857,16.932544708251953,5.335107705354846,0.3873317837715149,0.7611422538757324,1.847185219582195,0.12095999999999998
270,1.0,10000.0,384.0,0.8564971089363098,0.08540073037147522,-0.521676778793335,13.467768669128418,4.620103837103571,0.41338926553726196,0.8013904094696045,1.705969079077129,0.10394
