step,fraction,sample_size,dimension,mean_cosine,cosine_std,uniformity,effective_rank,participation_ratio,top_eigenvalue_share,top10_eigenvalue_share,hubness_skew_k10,neighborhood_preservation
0,0.0,10000.0,384.0,0.0422806441783905,0.08612614125013351,-3.76702880859375,203.61087036132812,134.13811289384162,0.03008764423429966,0.18197417259216309,1.6685527377486646,1.0
68,0.25,10000.0,384.0,0.1744443029165268,0.09598071128129959,-3.2252213954925537,187.9024200439453,113.56731731036173,0.035185620188713074,0.21276402473449707,1.8576537557554282,0.6054200000000001
135,0.5,10000.0,384.0,0.3417249321937561,0.10253454744815826,-2.549792766571045,179.444091796875,103.7222978110511,0.03666871786117554,0.2306804060935974,2.750939508828209,0.50105
270,1.0,10000.0,384.0,0.48940524458885193,0.09591897577047348,-1.9722970724105835,174.90286254882812,99.4170182420288,0.0378824882209301,0.23822148144245148,3.458996984788302,0.44393
